y,x1,x2
1,0.10682,0.90559
0,-0.09243,-0.97372
1,-0.73563,0.47399
0,0.77873,0.61646
1,0.23383,-0.85351
1,0.15151,-0.67404
0,0.76658,0.9115
1,-0.01547,0.78302
1,-0.07259,0.80691
1,-0.91024,0.01493
0,0.76768,-0.33054
0,-0.06047,1.20181
0,-0.85415,-0.72267
0,0.88103,-0.40586
1,0.80985,-0.00375
0,-0.73449,0.33754
1,0.78398,0.44056
0,0.51685,-0.75957
1,1.00511,-0.286
1,0.0972,-0.77052
0,1.1558,0.29545
0,1.1259,-0.46591
1,0.51793,-0.74271
0,-0.66162,0.71025
0,0.11698,-0.86184
0,0.26348,1.07721
1,0.10287,0.85548
0,-0.95314,-0.46782
0,-0.98282,-0.60226
0,0.16105,-0.83532
1,0.36274,-0.74025
0,-0.69436,1.10345
1,0.57528,0.63306
1,0.02511,-0.76333
0,-1.09848,-0.64466
0,-0.80197,0.61279
1,0.83318,-0.11802
1,-0.62201,0.39388
1,0.66852,-0.24432
1,0.72606,0.13826
0,-0.47851,0.87775
1,0.66609,-0.17724
1,-0.48725,0.47836
1,-0.15208,0.73357
1,-0.9269,-0.01993
1,-0.66397,0.66182
0,-0.60689,0.61141
0,-0.96168,0.23988
1,-0.54356,0.68649
1,-0.83105,-0.49227
0,1.10476,-0.48326
0,0.87914,0.0822
1,0.56554,-0.23754
1,-0.27738,0.73577
1,0.13511,-1.02264
1,-0.4645,-0.73355
0,1.18587,0.09051
0,-0.2137,1.16874
0,0.69074,0.49349
0,1.13691,0.49703
0,0.21034,-0.82605
1,0.07324,0.89454
1,-0.73208,0.05498
0,0.05052,-1.14489
1,-0.74219,0.25898
1,-0.40816,-0.69994
1,0.60732,-0.32541
1,-0.23759,-0.99961
0,-0.79052,0.23069
0,-0.60071,0.86973
1,0.24793,-0.98417
0,-0.89013,0.35317
0,1.0878,0.14534
1,0.3908,0.78011
1,-0.85622,0.74387
0,0.53139,0.8922
0,0.07868,0.86327
1,-0.35887,-0.72208
0,1.02876,0.29253
0,-0.82864,0.62447
0,-0.46701,-0.92953
1,-0.41532,0.50539
0,-0.13534,1.06537
1,0.82312,0.20157
0,0.93584,-0.38906
1,0.4559,0.78055
0,-0.34699,1.09891
0,0.81652,-0.25769
1,0.88754,0.12438
0,-1.12632,0.51115
1,0.74704,-0.34625
1,0.6427,0.43297
1,-0.56035,-0.31174
1,-0.48771,0.49007
